postnummer;poststed;adresse;kontornummer;kontor;kommunenummer;kommune;
0010;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0015;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0026;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0037;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0050;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0139;Oslo;;0318;NAV Nordstrand;0301;Oslo;
0150;Oslo;Alle andre adresser;0313;NAV St. Hanshaugen;0301;Oslo;
0150;Oslo;Bispegata;0316;NAV Gamle Oslo;0301;Oslo;
0150;Oslo;Bispekaia;0316;NAV Gamle Oslo;0301;Oslo;
0150;Oslo;Bleikøya;0316;NAV Gamle Oslo;0301;Oslo;
0150;Oslo;Gressholmen;0312;NAV Frogner;0301;Oslo;
0150;Oslo;Hovedøya;0312;NAV Frogner;0301;Oslo;
0150;Oslo;Lindøya;0316;NAV Gamle Oslo;0301;Oslo;
0150;Oslo;Nakholmen;0312;NAV Frogner;0301;Oslo;
0150;Oslo;Sørenga;0316;NAV Gamle Oslo;0301;Oslo;
0151;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0152;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0153;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0154;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0155;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0157;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0158;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0159;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0160;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0161;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0162;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0164;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0165;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0166;Oslo;Alle andre adresser;0313;NAV St. Hanshaugen;0301;Oslo;
0166;Oslo;Holbergs gate 7–;0312;NAV Frogner;0301;Oslo;
0166;Oslo;Holbergs plass;0312;NAV Frogner;0301;Oslo;
0166;Oslo;Linstows gate;0312;NAV Frogner;0301;Oslo;
0166;Oslo;Pilestredet 39–41;0312;NAV Frogner;0301;Oslo;
0166;Oslo;Staffeldts gate;0312;NAV Frogner;0301;Oslo;
0166;Oslo;Sven Bruns gate;0312;NAV Frogner;0301;Oslo;
0166;Oslo;Welhavens gate 1–7;0312;NAV Frogner;0301;Oslo;
0166;Oslo;Welhavens gate 2–6;0312;NAV Frogner;0301;Oslo;
0167;Oslo;Alle andre adresser;0312;NAV Frogner;0301;Oslo;
0167;Oslo;Dalsbergstien 19–21;0313;NAV St. Hanshaugen;0301;Oslo;
0167;Oslo;Pilestredet 40–60;0313;NAV St. Hanshaugen;0301;Oslo;
0167;Oslo;Wergelandsveien 2–;0313;NAV St. Hanshaugen;0301;Oslo;
0168;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0169;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0170;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0171;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0172;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0173;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0174;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0175;Oslo;Alle andre adresser;0315;NAV Grünerløkka;0301;Oslo;
0175;Oslo;Darres gate 40;0314;NAV Sagene;0301;Oslo;
0175;Oslo;Maridalsveien 22–30;0313;NAV St. Hanshaugen;0301;Oslo;
0175;Oslo;Maridalsveien 45;0314;NAV Sagene;0301;Oslo;
0175;Oslo;Uelands gate 8–24;0313;NAV St. Hanshaugen;0301;Oslo;
0175;Oslo;Uelands gate 51–55;0314;NAV Sagene;0301;Oslo;
0175;Oslo;Waldemar Thranes gate 72–;0314;NAV Sagene;0301;Oslo;
0176;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0177;Oslo;Alle andre adresser;0313;NAV St. Hanshaugen;0301;Oslo;
0177;Oslo;Fredensborgveien 35–;0315;NAV Grünerløkka;0301;Oslo;
0178;Oslo;Alle andre adresser;0315;NAV Grünerløkka;0301;Oslo;
0178;Oslo;Deichmans gate 6–;0313;NAV St. Hanshaugen;0301;Oslo;
0178;Oslo;Deichmans gate 11–;0313;NAV St. Hanshaugen;0301;Oslo;
0178;Oslo;Rosteds gate 2–;0313;NAV St. Hanshaugen;0301;Oslo;
0178;Oslo;Wilses gate;0313;NAV St. Hanshaugen;0301;Oslo;
0179;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0180;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0181;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0182;Oslo;Alle andre adresser;0315;NAV Grünerløkka;0301;Oslo;
0182;Oslo;Hausmanns gate 17–;0313;NAV St. Hanshaugen;0301;Oslo;
0182;Oslo;Storgata 37–51;0313;NAV St. Hanshaugen;0301;Oslo;
0182;Oslo;Torggata 38–40;0313;NAV St. Hanshaugen;0301;Oslo;
0183;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0184;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0185;Oslo;Alle andre adresser;0313;NAV St. Hanshaugen;0301;Oslo;
0185;Oslo;Schweigaards gate 10–14;0316;NAV Gamle Oslo;0301;Oslo;
0186;Oslo;Alle andre adresser;0315;NAV Grünerløkka;0301;Oslo;
0186;Oslo;Brugata 6–;0313;NAV St. Hanshaugen;0301;Oslo;
0187;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0188;Oslo;Alle andre adresser;0316;NAV Gamle Oslo;0301;Oslo;
0188;Oslo;Grønland 1;0313;NAV St. Hanshaugen;0301;Oslo;
0190;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0191;Oslo;Alle andre adresser;0316;NAV Gamle Oslo;0301;Oslo;
0191;Oslo;Dronning Eufemias gate 2–6;0313;NAV St. Hanshaugen;0301;Oslo;
0192;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0193;Oslo;Alle andre adresser;0316;NAV Gamle Oslo;0301;Oslo;
0193;Oslo;Bekkelagskaia;0318;NAV Nordstrand;0301;Oslo;
0193;Oslo;Kneppeskjær;0318;NAV Nordstrand;0301;Oslo;
0193;Oslo;Kongshavnveien;0318;NAV Nordstrand;0301;Oslo;
0193;Oslo;Kongsveien 8;0318;NAV Nordstrand;0301;Oslo;
0193;Oslo;Mosseveien 71–79;0318;NAV Nordstrand;0301;Oslo;
0193;Oslo;Sjursøya;0318;NAV Nordstrand;0301;Oslo;
0194;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0195;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0196;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0198;Oslo;;0318;NAV Nordstrand;0301;Oslo;
0250;Oslo;Alle andre adresser;0312;NAV Frogner;0301;Oslo;
0250;Oslo;Dronning Mauds gate;0313;NAV St. Hanshaugen;0301;Oslo;
0250;Oslo;Munkedamsveien 14–20;0313;NAV St. Hanshaugen;0301;Oslo;
0250;Oslo;Munkedamsveien 15–53;0313;NAV St. Hanshaugen;0301;Oslo;
0251;Oslo;Alle andre adresser;0313;NAV St. Hanshaugen;0301;Oslo;
0251;Oslo;Cort Adelers gate 35–;0312;NAV Frogner;0301;Oslo;
0251;Oslo;Kronprinsens gate 19;0312;NAV Frogner;0301;Oslo;
0251;Oslo;Ruseløkkveien 45–;0312;NAV Frogner;0301;Oslo;
0251;Oslo;Ruseløkkveien 50–;0312;NAV Frogner;0301;Oslo;
0252;Oslo;;0312;NAV Frogner;0301;Oslo;
0253;Oslo;Alle andre adresser;0312;NAV Frogner;0301;Oslo;
0253;Oslo;Arbins gate 2–;0313;NAV St. Hanshaugen;0301;Oslo;
0254;Oslo;;0312;NAV Frogner;0301;Oslo;
0255;Oslo;Alle andre adresser;0312;NAV Frogner;0301;Oslo;
0255;Oslo;Henrik Ibsens gate 4–20;0313;NAV St. Hanshaugen;0301;Oslo;
0256;Oslo;;0312;NAV Frogner;0301;Oslo;
0257;Oslo;;0312;NAV Frogner;0301;Oslo;
0258;Oslo;;0312;NAV Frogner;0301;Oslo;
0259;Oslo;;0312;NAV Frogner;0301;Oslo;
0260;Oslo;;0312;NAV Frogner;0301;Oslo;
0262;Oslo;;0312;NAV Frogner;0301;Oslo;
0263;Oslo;;0312;NAV Frogner;0301;Oslo;
0264;Oslo;;0312;NAV Frogner;0301;Oslo;
0265;Oslo;;0312;NAV Frogner;0301;Oslo;
0266;Oslo;;0312;NAV Frogner;0301;Oslo;
0267;Oslo;;0312;NAV Frogner;0301;Oslo;
0268;Oslo;;0312;NAV Frogner;0301;Oslo;
0270;Oslo;;0312;NAV Frogner;0301;Oslo;
0271;Oslo;;0312;NAV Frogner;0301;Oslo;
0272;Oslo;;0312;NAV Frogner;0301;Oslo;
0273;Oslo;;0312;NAV Frogner;0301;Oslo;
0274;Oslo;;0335;NAV Ullern;0301;Oslo;
0275;Oslo;;0335;NAV Ullern;0301;Oslo;
0276;Oslo;;0335;NAV Ullern;0301;Oslo;
0277;Oslo;Alle andre adresser;0335;NAV Ullern;0301;Oslo;
0277;Oslo;Drammensveien 121;0312;NAV Frogner;0301;Oslo;
0278;Oslo;;0335;NAV Ullern;0301;Oslo;
0279;Oslo;;0335;NAV Ullern;0301;Oslo;
0280;Oslo;;0335;NAV Ullern;0301;Oslo;
0281;Oslo;;0335;NAV Ullern;0301;Oslo;
0282;Oslo;;0335;NAV Ullern;0301;Oslo;
0283;Oslo;;0335;NAV Ullern;0301;Oslo;
0284;Oslo;;0335;NAV Ullern;0301;Oslo;
0286;Oslo;;0312;NAV Frogner;0301;Oslo;
0287;Oslo;;0312;NAV Frogner;0301;Oslo;
0313;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0340;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0349;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0350;Oslo;;0312;NAV Frogner;0301;Oslo;
0351;Oslo;;0312;NAV Frogner;0301;Oslo;
0352;Oslo;;0312;NAV Frogner;0301;Oslo;
0353;Oslo;;0312;NAV Frogner;0301;Oslo;
0354;Oslo;Alle andre adresser;0312;NAV Frogner;0301;Oslo;
0354;Oslo;Pilestredet 62–86;0313;NAV St. Hanshaugen;0301;Oslo;
0354;Oslo;Pilestredet 77–83;0313;NAV St. Hanshaugen;0301;Oslo;
0354;Oslo;Sporveisgata 2–6;0313;NAV St. Hanshaugen;0301;Oslo;
0354;Oslo;Thereses gate 17–;0313;NAV St. Hanshaugen;0301;Oslo;
0355;Oslo;;0312;NAV Frogner;0301;Oslo;
0356;Oslo;;0312;NAV Frogner;0301;Oslo;
0357;Oslo;;0312;NAV Frogner;0301;Oslo;
0358;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0359;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0360;Oslo;Alle andre adresser;0313;NAV St. Hanshaugen;0301;Oslo;
0360;Oslo;Fagerborggata 6;0312;NAV Frogner;0301;Oslo;
0361;Oslo;Alle andre adresser;0313;NAV St. Hanshaugen;0301;Oslo;
0361;Oslo;Blindernveien 40–;0331;NAV Nordre Aker;0301;Oslo;
0362;Oslo;Alle andre adresser;0312;NAV Frogner;0301;Oslo;
0362;Oslo;Suhms gate 1–;0313;NAV St. Hanshaugen;0301;Oslo;
0363;Oslo;;0312;NAV Frogner;0301;Oslo;
0364;Oslo;Alle andre adresser;0312;NAV Frogner;0301;Oslo;
0364;Oslo;Jacob Aalls gate 48–;0313;NAV St. Hanshaugen;0301;Oslo;
0364;Oslo;Jacob Aalls gate 53–;0313;NAV St. Hanshaugen;0301;Oslo;
0365;Oslo;;0312;NAV Frogner;0301;Oslo;
0366;Oslo;;0312;NAV Frogner;0301;Oslo;
0367;Oslo;;0312;NAV Frogner;0301;Oslo;
0368;Oslo;;0312;NAV Frogner;0301;Oslo;
0369;Oslo;Alle andre adresser;0312;NAV Frogner;0301;Oslo;
0369;Oslo;Fridtjof Nansens vei 15–;0335;NAV Ullern;0301;Oslo;
0369;Oslo;Fridtjof Nansens vei 18–;0335;NAV Ullern;0301;Oslo;
0369;Oslo;Sørkedalsveien 15–59;0334;NAV Vestre Aker;0301;Oslo;
0369;Oslo;Sørkedalsveien 22–66;0335;NAV Ullern;0301;Oslo;
0369;Oslo;Thaulows vei;0334;NAV Vestre Aker;0301;Oslo;
0369;Oslo;Tårnveien;0334;NAV Vestre Aker;0301;Oslo;
0369;Oslo;Volvat terrasse;0335;NAV Ullern;0301;Oslo;
0370;Oslo;;0334;NAV Vestre Aker;0301;Oslo;
0371;Oslo;Alle andre adresser;0334;NAV Vestre Aker;0301;Oslo;
0371;Oslo;Apalveien 21–;0331;NAV Nordre Aker;0301;Oslo;
0371;Oslo;Blindernveien 9;0313;NAV St. Hanshaugen;0301;Oslo;
0371;Oslo;Blindernveien 11–;0331;NAV Nordre Aker;0301;Oslo;
0371;Oslo;Halvor Blinderens plass;0313;NAV St. Hanshaugen;0301;Oslo;
0371;Oslo;Sem Sælands vei;0331;NAV Nordre Aker;0301;Oslo;
0372;Oslo;Alle andre adresser;0331;NAV Nordre Aker;0301;Oslo;
0372;Oslo;Sognsvannsveien 38–;0334;NAV Vestre Aker;0301;Oslo;
0372;Oslo;Sognsvannsveien 60–;0334;NAV Vestre Aker;0301;Oslo;
0373;Oslo;Alle andre adresser;0334;NAV Vestre Aker;0301;Oslo;
0373;Oslo;Gaustadalleen 5–19;0331;NAV Nordre Aker;0301;Oslo;
0373;Oslo;Gaustadalleen 23–25;0331;NAV Nordre Aker;0301;Oslo;
0374;Oslo;;0334;NAV Vestre Aker;0301;Oslo;
0375;Oslo;Alle andre adresser;0335;NAV Ullern;0301;Oslo;
0375;Oslo;Charlotte Andersens vei 22–;0334;NAV Vestre Aker;0301;Oslo;
0375;Oslo;Charlotte Andersens vei 25–;0334;NAV Vestre Aker;0301;Oslo;
0375;Oslo;Heggelibakken 1–51;0334;NAV Vestre Aker;0301;Oslo;
0375;Oslo;Heggelibakken 2–34;0334;NAV Vestre Aker;0301;Oslo;
0375;Oslo;Hjørungkroken;0334;NAV Vestre Aker;0301;Oslo;
0375;Oslo;Hjørungveien;0334;NAV Vestre Aker;0301;Oslo;
0375;Oslo;Solskinnskroken;0334;NAV Vestre Aker;0301;Oslo;
0375;Oslo;Svalbardveien;0334;NAV Vestre Aker;0301;Oslo;
0376;Oslo;Alle andre adresser;0334;NAV Vestre Aker;0301;Oslo;
0376;Oslo;Sørkedalsveien 70–96;0335;NAV Ullern;0301;Oslo;
0377;Oslo;;0335;NAV Ullern;0301;Oslo;
0378;Oslo;Alle andre adresser;0335;NAV Ullern;0301;Oslo;
0378;Oslo;Husebygrenda;0334;NAV Vestre Aker;0301;Oslo;
0378;Oslo;Lærer Holes vei;0334;NAV Vestre Aker;0301;Oslo;
0378;Oslo;Morgedalsvegen 36;0334;NAV Vestre Aker;0301;Oslo;
0378;Oslo;Skjerstadveien;0334;NAV Vestre Aker;0301;Oslo;
0378;Oslo;Sørkedalsveien 127–143;0334;NAV Vestre Aker;0301;Oslo;
0378;Oslo;Sørkedalsveien 134–150;0334;NAV Vestre Aker;0301;Oslo;
0378;Oslo;Øvre Smestadvei;0334;NAV Vestre Aker;0301;Oslo;
0379;Oslo;;0335;NAV Ullern;0301;Oslo;
0380;Oslo;;0335;NAV Ullern;0301;Oslo;
0381;Oslo;;0335;NAV Ullern;0301;Oslo;
0382;Oslo;;0335;NAV Ullern;0301;Oslo;
0383;Oslo;Alle andre adresser;0335;NAV Ullern;0301;Oslo;
0383;Oslo;Vækerøveien 141;0334;NAV Vestre Aker;0301;Oslo;
0445;Oslo;;0314;NAV Sagene;0301;Oslo;
0450;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0451;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0452;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0454;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0455;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0456;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0457;Oslo;Alle andre adresser;0314;NAV Sagene;0301;Oslo;
0457;Oslo;Diriks’ gate;0313;NAV St. Hanshaugen;0301;Oslo;
0457;Oslo;Uelands gate 26–56;0313;NAV St. Hanshaugen;0301;Oslo;
0458;Oslo;;0314;NAV Sagene;0301;Oslo;
0459;Oslo;;0314;NAV Sagene;0301;Oslo;
0460;Oslo;Alle andre adresser;0314;NAV Sagene;0301;Oslo;
0460;Oslo;Colletts gate 81–;0313;NAV St. Hanshaugen;0301;Oslo;
0461;Oslo;;0314;NAV Sagene;0301;Oslo;
0462;Oslo;Alle andre adresser;0313;NAV St. Hanshaugen;0301;Oslo;
0462;Oslo;Kierschows gate 1–7;0314;NAV Sagene;0301;Oslo;
0462;Oslo;Kierschows gate 2;0314;NAV Sagene;0301;Oslo;
0462;Oslo;Pontoppidans gate;0314;NAV Sagene;0301;Oslo;
0462;Oslo;Uelands gate 63–;0314;NAV Sagene;0301;Oslo;
0463;Oslo;;0314;NAV Sagene;0301;Oslo;
0464;Oslo;;0314;NAV Sagene;0301;Oslo;
0465;Oslo;;0314;NAV Sagene;0301;Oslo;
0467;Oslo;Alle andre adresser;0314;NAV Sagene;0301;Oslo;
0467;Oslo;Badebakken;0331;NAV Nordre Aker;0301;Oslo;
0467;Oslo;Nydalsveien 1–13;0331;NAV Nordre Aker;0301;Oslo;
0467;Oslo;Nydalsveien 2–12;0331;NAV Nordre Aker;0301;Oslo;
0468;Oslo;;0314;NAV Sagene;0301;Oslo;
0469;Oslo;;0314;NAV Sagene;0301;Oslo;
0470;Oslo;;0314;NAV Sagene;0301;Oslo;
0472;Oslo;;0314;NAV Sagene;0301;Oslo;
0473;Oslo;Alle andre adresser;0314;NAV Sagene;0301;Oslo;
0473;Oslo;Biermanns gate 8–;0315;NAV Grünerløkka;0301;Oslo;
0473;Oslo;Biermanns gate 9–;0315;NAV Grünerløkka;0301;Oslo;
0473;Oslo;Holsts gate 11–;0315;NAV Grünerløkka;0301;Oslo;
0474;Oslo;Alle andre adresser;0314;NAV Sagene;0301;Oslo;
0474;Oslo;Christian Michelsens gate 62–;0315;NAV Grünerløkka;0301;Oslo;
0474;Oslo;Sundes gate;0315;NAV Grünerløkka;0301;Oslo;
0474;Oslo;Valdresgata 16–;0315;NAV Grünerløkka;0301;Oslo;
0474;Oslo;Valdresgata 27–;0315;NAV Grünerløkka;0301;Oslo;
0474;Oslo;Vogts gate 11–19;0315;NAV Grünerløkka;0301;Oslo;
0475;Oslo;;0314;NAV Sagene;0301;Oslo;
0476;Oslo;;0314;NAV Sagene;0301;Oslo;
0477;Oslo;;0314;NAV Sagene;0301;Oslo;
0478;Oslo;;0314;NAV Sagene;0301;Oslo;
0479;Oslo;;0314;NAV Sagene;0301;Oslo;
0480;Oslo;;0314;NAV Sagene;0301;Oslo;
0481;Oslo;Alle andre adresser;0314;NAV Sagene;0301;Oslo;
0481;Oslo;Hans Nielsen Hauges gate 43–;0331;NAV Nordre Aker;0301;Oslo;
0481;Oslo;Hans Nielsen Hauges gate 52–;0331;NAV Nordre Aker;0301;Oslo;
0482;Oslo;;0314;NAV Sagene;0301;Oslo;
0483;Oslo;;0314;NAV Sagene;0301;Oslo;
0484;Oslo;Alle andre adresser;0331;NAV Nordre Aker;0301;Oslo;
0484;Oslo;Fernanda Nissens gate;0314;NAV Sagene;0301;Oslo;
0484;Oslo;Kristoffer Aamots gate;0314;NAV Sagene;0301;Oslo;
0484;Oslo;Lillogata;0314;NAV Sagene;0301;Oslo;
0484;Oslo;Nydalen allé 33–;0314;NAV Sagene;0301;Oslo;
0484;Oslo;Sandakerveien 64–114;0314;NAV Sagene;0301;Oslo;
0484;Oslo;Sandakerveien 99–111;0314;NAV Sagene;0301;Oslo;
0485;Oslo;Alle andre adresser;0314;NAV Sagene;0301;Oslo;
0485;Oslo;Grefsenveien 52–54;0331;NAV Nordre Aker;0301;Oslo;
0485;Oslo;Gunnar Schjelderups vei;0331;NAV Nordre Aker;0301;Oslo;
0485;Oslo;Spikerveien;0331;NAV Nordre Aker;0301;Oslo;
0485;Oslo;Tamburveien;0331;NAV Nordre Aker;0301;Oslo;
0485;Oslo;Vitaminveien 5 B;0331;NAV Nordre Aker;0301;Oslo;
0486;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0487;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0488;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0489;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0490;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0491;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0492;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0493;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0494;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0495;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0496;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0550;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0551;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0552;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0553;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0554;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0555;Oslo;Alle andre adresser;0315;NAV Grünerløkka;0301;Oslo;
0555;Oslo;Thorvald Meyers gate 1–11;0314;NAV Sagene;0301;Oslo;
0555;Oslo;Thorvald Meyers gate 2–16;0314;NAV Sagene;0301;Oslo;
0556;Oslo;Alle andre adresser;0315;NAV Grünerløkka;0301;Oslo;
0556;Oslo;Toftes gate 11–23;0314;NAV Sagene;0301;Oslo;
0557;Oslo;Alle andre adresser;0315;NAV Grünerløkka;0301;Oslo;
0557;Oslo;Sannergata 2–6;0314;NAV Sagene;0301;Oslo;
0558;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0559;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0560;Oslo;Alle andre adresser;0315;NAV Grünerløkka;0301;Oslo;
0560;Oslo;Trondheimsveien 5;0316;NAV Gamle Oslo;0301;Oslo;
0561;Oslo;Alle andre adresser;0316;NAV Gamle Oslo;0301;Oslo;
0561;Oslo;Heimdalsgata 2–10;0315;NAV Grünerløkka;0301;Oslo;
0561;Oslo;Herslebs gate 2–10;0315;NAV Grünerløkka;0301;Oslo;
0561;Oslo;Herslebs gate 5–15;0315;NAV Grünerløkka;0301;Oslo;
0562;Oslo;Alle andre adresser;0315;NAV Grünerløkka;0301;Oslo;
0562;Oslo;Lakkegata 65–69;0316;NAV Gamle Oslo;0301;Oslo;
0563;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0564;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0565;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0566;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0567;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0568;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0569;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0570;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0571;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0572;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0573;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0574;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0575;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0576;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0577;Oslo;Alle andre adresser;0316;NAV Gamle Oslo;0301;Oslo;
0577;Oslo;Monrads gate 2–14;0315;NAV Grünerløkka;0301;Oslo;
0577;Oslo;Monrads gate 5–11;0315;NAV Grünerløkka;0301;Oslo;
0578;Oslo;Alle andre adresser;0316;NAV Gamle Oslo;0301;Oslo;
0578;Oslo;Tøyengata 44–;0315;NAV Grünerløkka;0301;Oslo;
0579;Oslo;;0315;NAV Grünerløkka;0301;Oslo;
0580;Oslo;Alle andre adresser;0330;NAV Bjerke;0301;Oslo;
0580;Oslo;Dag Hammarskjølds vei 53–;0315;NAV Grünerløkka;0301;Oslo;
0580;Oslo;Lørenfaret;0315;NAV Grünerløkka;0301;Oslo;
0580;Oslo;Lørenveien 45–;0315;NAV Grünerløkka;0301;Oslo;
0580;Oslo;Lørenveien 46–;0315;NAV Grünerløkka;0301;Oslo;
0580;Oslo;Vekslerveien 5–;0315;NAV Grünerløkka;0301;Oslo;
0581;Oslo;Alle andre adresser;0330;NAV Bjerke;0301;Oslo;
0581;Oslo;Hjalmar Brantings vei 5–;0315;NAV Grünerløkka;0301;Oslo;
0582;Oslo;Alle andre adresser;0330;NAV Bjerke;0301;Oslo;
0582;Oslo;Alf Bjerckes vei 19;0326;NAV Alna;0301;Oslo;
0583;Oslo;;0330;NAV Bjerke;0301;Oslo;
0584;Oslo;;0330;NAV Bjerke;0301;Oslo;
0585;Oslo;Alle andre adresser;0315;NAV Grünerløkka;0301;Oslo;
0585;Oslo;Dag Hammarskjølds vei 2–54;0330;NAV Bjerke;0301;Oslo;
0585;Oslo;Kvistveien;0330;NAV Bjerke;0301;Oslo;
0585;Oslo;Liljeveien;0330;NAV Bjerke;0301;Oslo;
0585;Oslo;Nellikveien;0330;NAV Bjerke;0301;Oslo;
0585;Oslo;Ribstonveien;0330;NAV Bjerke;0301;Oslo;
0585;Oslo;Roseveien;0330;NAV Bjerke;0301;Oslo;
0586;Oslo;;0330;NAV Bjerke;0301;Oslo;
0587;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0588;Oslo;Alle andre adresser;0331;NAV Nordre Aker;0301;Oslo;
0588;Oslo;Eikelundveien 28–;0330;NAV Bjerke;0301;Oslo;
0588;Oslo;Lofthusveien 47–61;0330;NAV Bjerke;0301;Oslo;
0588;Oslo;Lofthusveien 52–;0330;NAV Bjerke;0301;Oslo;
0588;Oslo;Traverveien;0330;NAV Bjerke;0301;Oslo;
0588;Oslo;Østvangveien;0330;NAV Bjerke;0301;Oslo;
0588;Oslo;Årrundkroken;0330;NAV Bjerke;0301;Oslo;
0588;Oslo;Årrundveien;0330;NAV Bjerke;0301;Oslo;
0589;Oslo;;0330;NAV Bjerke;0301;Oslo;
0590;Oslo;Alle andre adresser;0330;NAV Bjerke;0301;Oslo;
0590;Oslo;Årvollveien 85;0331;NAV Nordre Aker;0301;Oslo;
0591;Oslo;;0330;NAV Bjerke;0301;Oslo;
0592;Oslo;;0330;NAV Bjerke;0301;Oslo;
0593;Oslo;;0330;NAV Bjerke;0301;Oslo;
0594;Oslo;;0330;NAV Bjerke;0301;Oslo;
0595;Oslo;;0330;NAV Bjerke;0301;Oslo;
0596;Oslo;;0330;NAV Bjerke;0301;Oslo;
0597;Oslo;;0330;NAV Bjerke;0301;Oslo;
0598;Oslo;;0330;NAV Bjerke;0301;Oslo;
0650;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0651;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0652;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0653;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0654;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0655;Oslo;Alle andre adresser;0316;NAV Gamle Oslo;0301;Oslo;
